iter	Logloss	Accuracy	Recall
0	0.3729104507	0.9455566168	0.9086927061
1	0.2515340407	0.9472680844	0.9136537438
2	0.19094325	0.9498060467	0.9405159479
3	0.1558464746	0.9505038888	0.9365955181
4	0.1378463115	0.9505077874	0.9212042012
5	0.123569929	0.9518488918	0.9323604859
6	0.1152449281	0.9529209957	0.9347563041
7	0.1097052087	0.9535174753	0.9387251343
8	0.1070186611	0.9540983607	0.9274720488
9	0.1029677526	0.9557006686	0.9382411306
10	0.1018592987	0.9556382917	0.9311746769
11	0.09944324402	0.9562347713	0.9432747689
12	0.09784465249	0.9566675114	0.9383863317
13	0.0964385976	0.9569949904	0.9402981463
14	0.09545838371	0.9577201224	0.9356759111
15	0.09367137781	0.9587181536	0.9379023281
16	0.09275390142	0.9588818931	0.9411451527
17	0.09223567194	0.959334126	0.9414113547
18	0.09152353519	0.9595719382	0.9432505687
19	0.09101502517	0.9600007797	0.9432747689
20	0.09033777615	0.9602775774	0.941048352
21	0.08981236537	0.9605777665	0.9413871545
22	0.08918784982	0.9607025204	0.9422583612
23	0.08877245556	0.9609676225	0.9414355549
24	0.08831974985	0.9610105066	0.9420405595
25	0.08788655862	0.9611937389	0.9407337496
26	0.08742097618	0.9616498704	0.9417985577
27	0.08716217062	0.9616420733	0.941314554
28	0.08668364583	0.9618019142	0.9428391656
29	0.08610780379	0.9622931327	0.9445815788
30	0.08576457449	0.9625426405	0.9449203814
31	0.08551691498	0.9627297713	0.9463239921
32	0.08497552222	0.9627726555	0.9444605779
33	0.084682907	0.9629208008	0.9446783796
34	0.08434306415	0.9630416561	0.9444847781
35	0.08402878382	0.9633418452	0.9454285853
36	0.08381772269	0.9632833668	0.9450655825
37	0.0835650292	0.9634237149	0.946444993
38	0.08332011052	0.9635640631	0.9458641886
39	0.08308398503	0.9636927155	0.9459367891
40	0.08269891456	0.9639032378	0.9458157882
41	0.08239166604	0.9640357888	0.9459367891
42	0.08211977751	0.9644100505	0.9458641886
43	0.08186022533	0.964608877	0.9468079957
44	0.08150632506	0.9649207618	0.9476066018
45	0.08122255297	0.9649831387	0.9468079957
46	0.08109679103	0.9649948344	0.9466627946
47	0.08090594697	0.96503382	0.9464691932
48	0.08073581132	0.9649519503	0.9460819902
49	0.08069305193	0.9650182258	0.9465417937
50	0.08029518335	0.9649285589	0.9462997919
51	0.08002535136	0.9651546753	0.9474130003
52	0.07977771854	0.9652521393	0.9471951987
53	0.07962421883	0.965361299	0.947630802
54	0.07945538986	0.9657511549	0.9487682106
55	0.07927701413	0.9657706477	0.9483326073
56	0.07911508527	0.9657745463	0.9482600068
57	0.07900468888	0.9658174305	0.9483810077
58	0.07889174291	0.9658642132	0.9484052079
59	0.07873715156	0.9660240541	0.9488650114
60	0.07854544205	0.9661293152	0.9487924108
61	0.07835652979	0.9661605037	0.9487198103
62	0.07813412964	0.9661799965	0.9481390059
63	0.07792584458	0.9663827216	0.9484052079
64	0.07787712499	0.9664178086	0.948550409
65	0.07758834182	0.9664879827	0.9485988094
66	0.07740882675	0.9664295043	0.9481874062
67	0.07726636408	0.9666829107	0.9490344127
68	0.07721493741	0.9668505487	0.9491312134
69	0.07708729719	0.9669207228	0.9497604182
70	0.07701681171	0.9670454767	0.9501960215
71	0.07688954569	0.9670493753	0.9496636174
72	0.07678608265	0.9671078536	0.9497604182
73	0.07664914498	0.967131245	0.9493974154
74	0.07649664779	0.9671000565	0.9490102125
