iter	Passed	Remaining
0	49	2445
1	93	2254
2	133	2089
3	188	2164
4	228	2054
5	266	1953
6	310	1907
7	353	1857
8	385	1757
9	424	1697
10	456	1617
11	493	1564
12	527	1500
13	559	1438
14	592	1382
15	624	1327
16	662	1285
17	691	1229
18	723	1180
19	754	1131
20	786	1085
21	815	1037
22	844	991
23	874	947
24	907	907
25	939	867
26	974	830
27	1031	810
28	1060	768
29	1089	726
30	1118	685
31	1149	646
32	1185	610
33	1215	571
34	1245	533
35	1275	496
36	1307	459
37	1356	428
38	1429	403
39	1461	365
40	1488	326
41	1516	288
42	1544	251
43	1576	215
44	1611	179
45	1642	142
46	1670	106
47	1698	70
48	1725	35
49	1756	0
