,client_code,KRA YN,IsKarvy,cm_sex,IncomePA,IsDormant,E2Channel,age,months_since_last_login,months_since_last_futures_trade,months_since_last_options_trade,months_since_last_intraday_trade,months_since_last_delivery_trade,THV,ALB,Z20,total_logins_one_year,total_trades_one_year,target
932,97512672,Y,0.0,M,<=1L,N,CAT,22.0,0.1887607313824225,132.0,132.0,132.0,2.7514416899236656,0.0,-13.0,1.0,21.0,3.0,0.0
1266,45973353,N,0.0,M,<=1L,N,CAT,39.0,0.1559058472985603,132.0,132.0,132.0,3.244264951181597,0.0,449.95,1.0,66.0,4.0,0.0
1314,34990493,Y,0.0,M,<=1L,N,CAT,23.0,2.0286342400786994,132.0,132.0,3.244264951181597,3.244264951181597,0.0,-28.51,1.0,92.0,6.0,0.0
1553,13127366,Y,0.0,M,<=1L,N,CAT,26.0,0.8458584130596644,132.0,132.0,3.3428296034331835,3.244264951181597,0.0,-25.87,1.0,60.0,6.0,0.0
1629,41896690,N,0.0,M,<=1L,N,CAT,19.0,1.0758426016466989,132.0,132.0,3.3428296034331835,3.244264951181597,0.0,-18.46,1.0,32.0,15.0,0.0
1867,PRMAHRP7,Y,0.0,M,5_10L,N,Premia,38.0,0.8458584130596644,132.0,132.0,132.0,2.685731921755941,30.0,450.34,1.0,19.0,3.0,0.0
2130,28488834,N,0.0,M,<=1L,N,CAT,40.0,1.798650051491665,132.0,132.0,3.211410067097735,3.1785551830138727,0.0,0.76,1.0,75.0,5.0,0.0
2299,68297579,N,0.0,M,<=1L,N,CAT,34.0,3.1457002989300107,132.0,132.0,132.0,3.1785551830138727,0.0,0.07,1.0,8.0,3.0,0.0
2313,25401719,Y,0.0,M,<=1L,N,CAT,36.0,0.4187449199694571,132.0,132.0,3.1785551830138727,3.1785551830138727,0.0,-158.7,1.0,21.0,8.0,0.0
2398,18363102,N,0.0,M,<=1L,N,CAT,21.0,0.385890035885595,132.0,132.0,132.0,3.1785551830138727,0.0,0.44,1.0,13.0,3.0,0.0
2543,94041270,Y,0.0,M,<=1L,N,CAT,34.0,2.9157161103429763,132.0,132.0,2.9814258785107004,3.0142807625945625,30.0,-28.69,1.0,102.0,7.0,0.0
2554,13959789,Y,0.0,M,<=1L,N,CAT,35.0,1.0758426016466989,132.0,132.0,132.0,3.1785551830138727,0.0,-23.76,1.0,48.0,3.0,0.0
2571,88492106,N,0.0,M,<=1L,N,CAT,25.0,3.1128454148461486,132.0,132.0,132.0,2.7514416899236656,0.0,-12.88,1.0,9.0,4.0,0.0
2644,27044620,Y,0.0,M,<=1L,N,CAT,33.0,0.6487291085564918,132.0,132.0,132.0,3.1785551830138727,0.0,0.69,1.0,347.0,4.0,0.0
2928,76438425,Y,0.0,M,<=1L,N,CAT,22.0,1.40439144248532,132.0,132.0,3.1785551830138727,3.1457002989300107,0.0,0.28,1.0,10.0,4.0,0.0
2993,27285309,N,0.0,M,<=1L,N,CAT,37.0,0.1559058472985603,132.0,132.0,132.0,3.1457002989300107,0.0,-418.66,1.0,287.0,25.0,0.0
3088,NIRM1043,N,0.0,F,<=1L,N,Franchisee,23.0,0.8130035289758022,132.0,132.0,132.0,2.685731921755941,0.0,-24.24,1.0,102.0,3.0,0.0
3124,96608540,N,0.0,M,<=1L,N,CAT,19.0,1.3715365584014578,132.0,132.0,3.1457002989300107,2.7514416899236656,0.0,0.31,1.0,9.0,5.0,0.0
3262,25861464,N,0.0,M,<=1L,N,CAT,19.0,2.225763544581872,132.0,132.0,132.0,2.7514416899236656,0.0,-31.14,1.0,7.0,4.0,0.0
3286,80290326,N,0.0,M,<=1L,N,CAT,23.0,0.7801486448919401,132.0,132.0,3.1457002989300107,2.7514416899236656,0.0,0.5,1.0,38.0,5.0,0.0
3291,63628439,Y,0.0,F,<=1L,N,CAT,19.0,0.7801486448919401,132.0,132.0,3.1128454148461486,2.7185868058398035,0.0,0.89,1.0,25.0,4.0,0.0
3298,99415341,N,0.0,M,<=1L,N,CAT,21.0,0.1559058472985603,132.0,132.0,132.0,2.7514416899236656,0.0,0.39,1.0,38.0,4.0,0.0
3306,45739383,Y,0.0,M,<=1L,N,CAT,34.0,1.6343756310723545,132.0,132.0,3.1128454148461486,2.7185868058398035,0.0,0.71,1.0,36.0,3.0,0.0
3314,22113646,N,0.0,F,<=1L,N,CAT,42.0,1.1744072538982853,132.0,132.0,132.0,2.7514416899236656,0.0,-23.23,1.0,51.0,3.0,0.0
3409,39618587,Y,0.0,M,<=1L,N,CAT,45.0,1.0101328334789748,132.0,132.0,3.0142807625945625,3.0142807625945625,934.0,0.46,1.0,697.0,8.0,0.0
3421,15041642,Y,0.0,M,<=1L,N,CAT,22.0,0.9115681812273884,132.0,132.0,132.0,2.7514416899236656,0.0,-23.23,1.0,2.0,3.0,0.0
3426,22788828,N,0.0,M,<=1L,N,CAT,31.0,0.2544704995501466,132.0,132.0,132.0,2.7514416899236656,0.0,-23.23,1.0,7.0,3.0,0.0
3427,23079981,Y,0.0,M,<=1L,N,CAT,20.0,0.385890035885595,132.0,132.0,132.0,2.7514416899236656,0.0,-24.23,1.0,48.0,3.0,0.0
3429,27433595,N,0.0,M,<=1L,N,CAT,28.0,1.1086974857305611,132.0,132.0,3.0142807625945625,2.7514416899236656,0.0,0.91,1.0,81.0,26.0,0.0
3456,54180494,Y,0.0,M,<=1L,N,CAT,32.0,0.1559058472985603,132.0,132.0,132.0,2.9814258785107004,0.0,0.42,1.0,89.0,3.0,0.0
3482,82920721,N,0.0,M,<=1L,N,CAT,39.0,1.5686658629046304,132.0,132.0,132.0,2.9814258785107004,0.0,-3.5,1.0,15.0,4.0,0.0
3485,85163546,N,0.0,M,<=1L,N,CAT,23.0,1.470101210653044,132.0,132.0,132.0,2.7514416899236656,0.0,0.92,1.0,28.0,3.0,0.0
3486,86219699,N,0.0,M,<=1L,N,CAT,26.0,0.7144388767242159,132.0,132.0,132.0,2.7514416899236656,0.0,-13.23,1.0,64.0,3.0,0.0
3491,91136103,Y,0.0,M,<=1L,N,CAT,19.0,3.0471356466784245,132.0,132.0,3.1128454148461486,2.7514416899236656,0.0,0.91,1.0,63.0,9.0,0.0
3537,62076336,Y,0.0,M,<=1L,N,CAT,22.0,1.6015207469884924,132.0,132.0,132.0,2.7185868058398035,0.0,0.65,1.0,8.0,3.0,0.0
3549,79545919,Y,0.0,M,<=1L,N,CAT,26.0,0.1559058472985603,132.0,132.0,132.0,2.7514416899236656,0.0,0.99,1.0,44.0,3.0,0.0
3552,81898445,N,0.0,M,<=1L,N,CAT,20.0,0.9772779493951128,132.0,132.0,3.1128454148461486,2.7514416899236656,0.0,0.33,1.0,18.0,5.0,0.0
3700,25104150,N,0.0,M,<=1L,N,CAT,19.0,1.1744072538982853,132.0,132.0,132.0,3.0142807625945625,0.0,0.59,1.0,25.0,3.0,0.0
3714,42461528,Y,0.0,M,<=1L,N,CAT,20.0,0.5501644563049055,132.0,132.0,132.0,2.9814258785107004,0.0,-29.2,1.0,85.0,4.0,0.0
3720,44548173,N,0.0,M,<=1L,N,CAT,24.0,1.5686658629046304,132.0,132.0,132.0,2.7185868058398035,0.0,-22.2,1.0,9.0,4.0,0.0
3827,27860874,Y,0.0,F,1_5L,N,Franchisee,29.0,1.0758426016466989,132.0,4.06563705327815,132.0,3.0142807625945625,0.0,0.01,1.0,88.0,115.0,0.0
3837,35874910,Y,0.0,M,<=1L,N,CAT,31.0,2.9814258785107004,132.0,132.0,3.0142807625945625,3.0142807625945625,0.0,0.73,1.0,79.0,10.0,0.0
3838,41335155,N,0.0,M,<=1L,N,CAT,22.0,0.2216156154662845,132.0,132.0,132.0,2.7185868058398035,0.0,0.58,1.0,37.0,3.0,0.0
3884,24165341,N,0.0,M,<=1L,N,CAT,33.0,0.2544704995501466,132.0,132.0,132.0,2.7514416899236656,0.0,-22.33,1.0,40.0,3.0,0.0
3895,43898367,Y,0.0,M,<=1L,N,CAT,29.0,0.5173095722210435,132.0,132.0,2.882861226259114,2.7185868058398035,0.0,0.67,1.0,165.0,6.0,0.0
